,stock,material,descripcion,tipoMaterial,umb,mat,sm,grupo,jerarquia,numerofab,fabricante,extension,creado,modificado
16529,71000511188,91000020247,BEARING ASSEMBLY,HERS,ST,,,261017,,T74258B,TERRY,,2016-04-27,2022-10-07
16530,71000511196,91000020248,SPRING,HERS,ST,,,311619,,66205E-28,TERRY,,2016-04-27,
16531,71000511196,91500030172,SPRING,HERS,ST,,,311619,,T9393,TERRY,,2017-11-27,
16532,71000511204,91000020249,"SHAFT, TURBINE.",HERS,ST,,,261017,,T65982CO1,TERRY,,2016-04-27,
16533,71000511212,91000020250,"STEM, FLUID VALVE",HERS,ST,,,40141616,,T48501,TERRY,,2016-04-27,
16534,71000511246,91000020251,"WEIGHT, BALANCE",HERS,ST,,,261017,,66205E-25,TERRY,,2016-04-27,
16535,71000511287,91000020252,VALVE,HERS,ST,,,401416,,T129099D02,DRESSER,,2016-04-27,
16536,71000511295,91000020253,"BAFFLE,  OIL",HERS,ST,,,261017,,146307-001,DRESSER,,2016-04-27,2019-05-14
16537,71000511303,91000020254,"BAFFLE,  OIL",HERS,ST,,,261017,,211880-001,DRESSER,,2016-04-27,2019-05-14
16538,71000511311,91000020255,BEARING,HERS,ST,,,311715,,146304-102,DRESSER,,2016-04-27,2019-05-14
16539,71000511329,91000020256,"RING, CARBON",HERS,ST,,,261017,,DWG.11396,LORRAINE,,2016-04-27,2022-11-04
16540,71000511337,91000020257,SLINGER,HERS,ST,,,261017,,W213027-001,DRESSER,,2016-04-27,
16541,71000511345,91000020258,"STEM, VALVE",HERS,ST,,,261017,,T129057B01,DRESSER,,2016-04-27,
16542,71000511352,91000020259,"GRATING, NONMETALLIC",HERS,ST,,,314119,,T58110,DRESSER,,2016-04-27,2022-11-01
16543,71000511378,91000020260,"SHAFT, TURBINE",HERS,ST,,,261017,,W211351-001,DRESSER,,2016-04-27,2022-11-04
16544,71000511386,91000020261,"NOZZLE, TURBINE, TURBINE ENGINE",HERS,ST,,,231531,,110532C09,TERRY,,2016-04-27,2022-11-01
16545,71000511394,91000020262,BUSHING,HERS,ST,,,311716,,85037B,TERRY,,2016-04-27,
16546,71000511402,91000020263,CHAMBER,HERS,ST,,,261017,,110424D,TERRY,,2016-04-27,2022-10-07
16547,71000511410,91000020264,"COUPLING, SHAFT, FLEXIBLE",HERS,ST,,,31163013,,T 75080A01,TERRY,,2016-04-27,
16548,71000511444,91000020266,GEAR,HERS,ST,,,311717,,1037818,TERRY,,2016-04-27,
16549,71000511469,91000020268,GLAND,HERS,ST,,,261017,,103825D,TERRY,,2016-04-27,2022-10-07
16550,71000511485,91000020269,"SEAL, OIL",HERS,ST,,,261017,,T 75198A29,TERRY,,2016-04-27,2022-11-04
16551,71000511493,91000020270,"GRATING, NONMETALLIC",HERS,ST,,,314119,,DWG. 10999  B.07,LORRAINE,,2016-04-27,2022-11-01
16552,71000511501,91000020271,"RING, RETAINING",HERS,ST,,,31163202,,W128341-075,TERRY,,2016-04-27,
16553,71000511519,91000020272,"LIGHT UNIT, EMERGENCY",HERS,ST,,,261017,,034465,TERRY,,2016-04-27,2022-10-07
16554,71000511527,91000020273,"SEAL, PLAIN ENCASED",HERS,ST,,,31411904,,T103783C,TERRY,,2016-04-27,
16555,71000511535,91000020274,SEAL,HERS,ST,,,311817,,104988E,TERRY,,2016-04-27,2022-11-01
16556,71000511550,91000020276,SHAFT,HERS,ST,,,26111512,,T110090D01,TERRY,,2016-04-27,2019-05-06
16557,71000511568,91000020277,"GRATING, NONMETALLIC",HERS,ST,,,314119,,54843,TERRY,,2016-04-27,2022-11-01
